humidity,temperature,voltage,time,ip
43.51,0,0,2025-10-20 16:49:17.725010,17
43.51,25.6875,0,2025-10-20 16:49:17.739307,17
43.51,25.6875,23.70,2025-10-20 16:49:17.739933,17
43.51,25.75,23.70,2025-10-20 16:49:18.610978,17
43.51,25.75,23.71,2025-10-20 16:49:18.712842,17
43.51,25.75,23.73,2025-10-20 16:49:20.106595,17
43.51,25.75,23.70,2025-10-20 16:49:21.514716,17
43.51,25.75,23.74,2025-10-20 16:49:22.231404,17
43.51,25.75,23.73,2025-10-20 16:49:22.888767,17
43.51,25.75,23.68,2025-10-20 16:49:23.620689,17
43.51,25.75,23.70,2025-10-20 16:49:24.293560,17
43.51,25.6875,23.70,2025-10-20 16:49:24.665981,17
43.51,25.6875,23.73,2025-10-20 16:49:25.705539,17
43.51,25.6875,23.70,2025-10-20 16:49:26.407697,17
43.51,25.6875,23.68,2025-10-20 16:49:27.112045,17
43.51,25.75,23.68,2025-10-20 16:49:27.512600,17
43.51,25.75,23.73,2025-10-20 16:49:27.815177,17
43.51,25.75,23.66,2025-10-20 16:49:28.502495,17
43.51,25.75,23.71,2025-10-20 16:49:29.220942,17
43.51,25.75,23.73,2025-10-20 16:49:29.970417,17
43.51,25.75,23.74,2025-10-20 16:49:30.616887,17
43.51,25.75,23.71,2025-10-20 16:49:31.317922,17
43.51,25.75,23.68,2025-10-20 16:49:31.988565,17
43.42,25.75,23.68,2025-10-20 16:49:32.570136,17
43.42,25.6875,23.68,2025-10-20 16:49:32.689574,17
43.42,25.6875,23.73,2025-10-20 16:49:32.710563,17
43.42,25.6875,23.71,2025-10-20 16:49:33.416302,17
43.42,25.6875,23.68,2025-10-20 16:49:34.816847,17
43.42,25.75,23.68,2025-10-20 16:49:35.640049,17
43.42,25.75,23.70,2025-10-20 16:49:36.205394,17
43.42,25.75,23.71,2025-10-20 16:49:36.932636,17
43.42,25.75,23.73,2025-10-20 16:49:38.344514,17
43.42,25.75,23.74,2025-10-20 16:49:39.747309,17
43.42,25.75,23.71,2025-10-20 16:49:41.106513,17
43.42,25.75,23.68,2025-10-20 16:49:41.854887,17
43.42,25.75,23.71,2025-10-20 16:49:42.535931,17
43.42,25.75,23.74,2025-10-20 16:49:43.196930,17
43.42,25.75,23.70,2025-10-20 16:49:43.890789,17
43.42,25.75,23.71,2025-10-20 16:49:44.642866,17
43.42,25.75,23.68,2025-10-20 16:49:45.327259,17
43.42,25.75,23.73,2025-10-20 16:49:46.027238,17
43.42,25.75,23.70,2025-10-20 16:49:46.726147,17
43.42,25.75,23.71,2025-10-20 16:49:50.199115,17
43.42,25.75,23.76,2025-10-20 16:49:50.895972,17
43.42,25.75,23.70,2025-10-20 16:49:51.616348,17
43.51,25.75,23.70,2025-10-20 16:49:52.610478,17
43.51,25.75,23.71,2025-10-20 16:49:53.006073,17
43.51,25.75,23.73,2025-10-20 16:49:53.683679,17
43.51,25.75,23.70,2025-10-20 16:49:54.397798,17
43.51,25.75,23.74,2025-10-20 16:49:55.107027,17
43.51,25.75,23.73,2025-10-20 16:49:55.815436,17
43.51,25.75,23.67,2025-10-20 16:49:56.489131,17
43.51,25.75,23.71,2025-10-20 16:49:57.185350,17
43.51,25.75,23.68,2025-10-20 16:49:58.583714,17
43.51,25.75,23.70,2025-10-20 16:49:59.340684,17
43.51,25.75,23.74,2025-10-20 16:50:00.703335,17
43.51,25.75,23.73,2025-10-20 16:50:01.631239,17
43.51,25.75,23.68,2025-10-20 16:50:02.153626,17
43.51,25.75,23.70,2025-10-20 16:50:02.848832,17
43.51,25.75,23.71,2025-10-20 16:50:03.558377,17
43.51,25.75,23.70,2025-10-20 16:50:04.188004,17
43.51,25.75,23.71,2025-10-20 16:50:04.889071,17
43.51,25.75,23.70,2025-10-20 16:50:06.311442,17
43.51,25.75,23.74,2025-10-20 16:50:07.712390,17
43.51,25.75,23.70,2025-10-20 16:50:08.472037,17
43.51,25.75,23.73,2025-10-20 16:50:09.086684,17
43.42,25.75,23.73,2025-10-20 16:50:09.701562,17
43.42,25.75,23.71,2025-10-20 16:50:09.790642,17
43.42,25.75,23.68,2025-10-20 16:50:10.484811,17
43.42,25.75,23.74,2025-10-20 16:50:11.235242,17
43.42,25.75,23.73,2025-10-20 16:50:11.894857,17
43.42,25.75,23.68,2025-10-20 16:50:12.605125,17
43.42,25.75,23.71,2025-10-20 16:50:13.314279,17
43.42,25.75,23.74,2025-10-20 16:50:14.001622,17
43.42,25.75,23.76,2025-10-20 16:50:15.419114,17
43.42,25.75,23.68,2025-10-20 16:50:16.119285,17
